q,a1,a2,a3,a4,ca,isYear
Командующий русской сухопутной армией в русско- японской войне 1904—1905 гг.,А.Н. Куропаткин,З.П. Рожественский,Р.И. Кондратенко,С.О. Макаров,1,0
Слова «Вам нужны великие потрясения — нам нужна великая Россия!» принадлежат,В.И. Ленину,П.А. Столыпину,С.Ю. Витте,П.Н. Милюкову,2,0
Что из названного было одной из целей России в Первой мировой войне?,усиление влияния на Балканах,стремление расширить влияние в Юго-Восточной Европе,усиление влияния в Манчьжурии,расширение территорий на Кавказе,1,0
За немедленное заключение демократического мира со всеми воюющими державами выступили,большевики,эсеры,кадеты,черносотенцы,1,0
Отметьте знаменитых актеров немого кино начала XX в.,А.Голубкина и А. Скрябин,Ф.Шаляпин и А. Нежданова,В. Холодная и И. Мозжухин,В. Комиссаржевская и В. Немирович-Данченко,3,0
В каком ряду названы поэты-символисты?,"А. Блок, В. Брюсов","В. Хлебников, В. Маяковский","Н. Гумилев, О. Мандельштам","С. Есенин, Н. Клюев",1,0
Промышленный переворот в России завершился,к 70-м гг. XIX в.,к 90-м гг. XIX в.,к 1900 г.,к 1910 г,2,0
По инициативе начальника Московского охранного отделения С.В. Зубатова были созданы,церковно-приходские школы,легальные рабочие организации,подпольные политические организации,охранные отделения в полиции,2,0
"Требования подготовки и осуществления пролетарской революции, установления диктатуры пролетариата и построения социалистического общества содержались в программе",РСДРП,партии кадетов,неонародников,черносотенцев,1,0
Что из названного было одной из причин революции 1905 г.?,крестьянское малоземелье,сохранение сословного строя,недовольство крестьян общинными порядками,попытки государства ускорить разрушение общины ,1,0
"Участок земли, выделенный крестьянину при выходе из общины, с сохранением его двора в деревне назывался",хутором,отрубом,артелью,отрезком,2,0
Какое из названных событий произошло 1 августа 1914 г.?,Брусиловский прорыв,назначение верховным главнокомандующим императора Николая II,Германия объявила войну России,в Сербии был убит австрийский наследник,3,0
Кто из названных русских художников конца XIX — начала XX в. не входил в творческое общество «Мир искусства»?,А.Н. Бенуа,К.А. Сомов,Н.К. Рерих,К.А. Коровин,4,0
В каком ряду перечислены имена талантливых крестьянских поэтов начала XX в.?,"К. Бальмонт, А. Блок, В. Брюсов","С. Есенин, Н. Клюев, С. Клычков","Н. Гумилев, А. Ахматова, О. Мандельштам","В. Хлебников, Д. Бурлюк, А. Крученых",2,0
"Требования свержения самодержавия, социализации земли, установления «народовластия» и федеративного государства содержались в программе партии",большевиков,меньшевиков,кадетов,эсеров,4,0
Что из названного является одним из результатов революции 1905—1907 гг.?,создание конституционной монархии,ликвидация помещичьего землевладения,отмена выкупных платежей,введение 8-часового рабочего дня на предприятиях,3,0
"Отметьте, о ком идет речь. Родился в обедневшей дворянской семье. В 1889 г. окончил юридический факультет Петербургского университета. Отказавшись от профессорской карьеры, в 1890 г. поступил на службу в Министерство финансов, а в 1905 г. стал управляющим Крестьянским и Дворянским земельными банками. В 1906 г. перешел на службу в частные банки, стал крупным финансистом и промышленником; директор Русско-Азиатского банка, член правления акционерного общества «Промет», ряда заводов, железных дорог и речных пароходств.",П. Третьяков,А. Путилов,А. Гучков,С. Морозов,2,0
Какое из названных событий произошло в ходе кампании 1915 г.?,удачное наступление на фронте русских войск под командованием А.А. Брусилова,"русская армия оставила Галицию, польские земли, входившие в состав империи, часть Белоруссии",поражение русских армий под командованием А.В. Самсонова в Восточной Пруссии,взятие русской армией Эрзерума и Трапезунда,2,0
Что из названного характеризует реформы П.А. Столыпина?,ограничение помещичьего землевладения,разработка проекта укрепления общинного землепользования,отмена сословий,разрушение общины,4,0
"Архитектор, внесший огромный вклад в развитие русского (московского) модерна",С. Коненков,Ф. Шехтель,И. Жолтовский,А. Воронихин,2,0
"Художник, автор картины «Заседание Государственного совета»",А.Н. Бенуа,Н.К. Рерих,К.А. Коровин,И.Е. Репин ,4,0
В состав Совнаркома с ноября 1917 г. по март 1918 г. входили представители партий,большевиков и меньшевиков-интернационалистов,большевиков и левых эсеров,большевиков и правых эсеров,большевиков и кадетов,2,0
Высший орган власти в России в марте—октябре 1917 г.,Временное правительство,Петроградский совет,съезд Советов,Учредительное собрание,1,0
Что из названного характеризует политику «военного коммунизма»?,введение демократических свобод для всех категорий населения,введение натурального обмена при отмене свободной торговли,денационализация крупных предприятий,разрешение деятельности частных банков,2,0
"Определите одну из причин, обусловивших победу большевиков в Гражданской войне.",политика «военного коммунизма»,введение всеобщих демократических прав и свобод,поддержка крестьянством советской власти,пропаганда идей справедливого государства для трудового народа,1,0
За создание однородного социалистического правительства летом 1917 г. Выступал,А.И. Гучков,П.Н. Милюков,В.И. Ленин,Ю.О. Мартов,4,0
Какое из названных событий произошло в конце мая 1918 г.?,мятеж левых эсеров в Москве,мятеж Чехословацкого корпуса,мятеж юнкеров в Москве,восстание на броненосце «Князь Потемкин Таврический»,2,0
Первая Конная армия была создана для борьбы,с войсками Колчака,с войсками Деникина,с войсками Юденича,с войсками Врангеля,2,0
"Кто из названных деятелей революции назвал разгон Учредительного собрания «открытым, явным, грубым»?",Л.Д. Троцкий,Я.М. Свердлов,М. Спиридонова,В.М. Чернов,4,0
Отметьте одно из положений деникинского проекта земельной реформы.,частная собственность на землю,введение продовольственной диктатуры,введение института временнообязанных крестьян,передача земли общине,1,0
Отметьте самый популярный лозунг в российском обществе осенью 1917 г.,«Вся власть Учредительному собранию!»,«Вся власть Советам!»,«Землю — крестьянам!»,«Долой министров-капиталистов!»,1,0
Военное вмешательство иностранных государств во внутренние дела другого государства называется,экспроприацией,интервенцией,эскалацией,аннексией,2,0
Комуч был создан из,бывших членов Учредительного собрания,офицеров чехословацкого корпуса,сторонников адмирала А.В. Колчака,бывших членов Временного правительства,1,0
Одной из причин Гражданской войны в России было недовольство части населения,свержением монархической власти,политикой диктатуры пролетариата,начавшейся интервенцией,«Декретом о земле»,2,0
Кто из названных военачальников был командармом Первой Конной армии?,К.Е. Ворошилов,С.М. Буденный,М.В. Фрунзе,М.Н. Тухачевский,2,0
Высший орган государственной власти после Октября 1917 г.,Учредительное собрание,Верховный Совет,Совет Народных Комиссаров,Всероссийский съезд Советов рабочих и солдатских депутатов,4,0
Что из названного является одной из причин Гражданской войны?,недовольство диктатурой пролетариата,принятие первой Конституции,вмешательство иностранных государств,исключение меньшевиков и правых эсеров из состава ВЦИК,1,0
Кто из перечисленных участников Гражданской войны возглавлял анархо-крестьянское движение на Украине?,В. Чапаев,Г. Котовский,Н. Махно,Н. Щорс,3,0
По закону о социализации земля была передана,крестьянской общине,в собственность государства,в частную собственность крестьян,в собственность земств,2,0
Продразверстка - это,монополия государства на производство и продажу хлеба,норма сдачи хлеба государству,всеобщая трудовая повинность,дневная норма рабочего,2,0
"Кто из названных руководителей белого движения встал во главе Добровольческой армии, созданной на Дону в конце 1917г.?",П. Врангель,А. Каледин,А. Колчак,Л. Корнилов,4,0
Что из названного является целью создания комитетов бедноты в 1918 г.?,контроль пролетариата за производством на мелких и средних промышленных предприятиях,помощь продовольственным отрядам реквизировать хлеб у крестьян,создание системы образования на селе,помощь местным органам советской власти в проведении мобилизации в Красную армию ,2,0
Что из названного является одной из причин революционных событий в феврале 1917 г.?,деятельность Государственной думы,дестабилизирующее влияние войны на экономическое и политическое развитие страны,принятие Николаем II командования войсками,активная деятельность земств против самодержавия,2,0
Какое событие произошло раньше других?,расстрел демонстрации в Петрограде,создание Временного правительства,созыв I съезда Советов рабочих и солдатских депутатов,Корниловский мятеж,2,0
Что из названного было характерно для национальной политики Временного правительства?,восстановление автономии Финляндии,провозглашение автономного правления в Польше,признание права национальных окраин на самоопределение вплоть до отделения от Российского государства,разрешение национальным окраинам разрабатывать свои конституции,1,0
Какое из названных событий произошло 14 сентября 1917 г.?,Л. Корнилов предпринял наступление на Петроград,открылся I съезд Советов рабочих и солдатских депутатов,начались сепаратные переговоры с Германией,приступило к работе Демократическое совещание в Петрограде,4,0
Для борьбы с контрреволюцией и саботажем советская власть создала,ГОЭЛР,комбеды ,ВСНХ,ВЧК,4,0
Какое из названных событий произошло в июле 1918 г.?,наступление Добровольческой армии на Москву,принятие Декрета о земле,покушение на В.И. Ленина,принятие Конституции РСФСР,4,0
Насильственное присоединение территории другого государства— это,аннексия,контрибуция,репарация,репатриация,1,0
Укажите одну из причин поражения Белого движения в Гражданской войне.,слабое финансовое обеспечение войск,низкий профессиональный уровень солдат и офицеров,требование восстановить «единую и неделимую» территорию Российской империи,политика «военного коммунизма»,3,0
"«Омский диктатор», расстрелянный красными в 1920 г.",А. Дутов,П. Врангель,А. Колчак,А. Деникин,3,0
Декрет о мире содержал следующее положение,возвращение к довоенным границам воюющих государств,денежная компенсация Германии за согласие заключить мир,необходимость усиления позиций Антанты и принуждение Германии подписать мир,заключение мира любой ценой,1,0
II Всероссийский съезд Советов принял,Декларацию прав трудящегося и эксплуатируемого народа,Декрет об уничтожении сословий и гражданских чинов,Декрет о земле,Конституцию РСФСР,3,0
"Командующий корпусом, пытавшийся оказать поддержку А.Ф. Керенскому в походе на Петроград в октябре 1917 г.",П.Н. Краснов,А.И. Деникин,Л.Г. Корнилов,П.П. Врангель,1,0
"Партия или общественная группа, выступающая против мнения большинства или господствующей точки зрения, выдвигающая иное решение существующих проблем, называется",олигархической,коалиционной,сепаратистской,оппозиционной,4,0
В мае — июне 1919 г. началось крупномасштабное наступление войск под командованием,А. Деникина,Н. Юденича,А. Колчака,П. Врангеля,1,0
Что из названного послужило поводом к официальному объявлению «красного террора»?,сопротивление крестьян продовольственным отрядам,убийство немецкого посла Мирбаха,покушение на жизнь В.И. Ленина,начало интервенции,3,0
Что из названного является одной из причин иностранной военной интервенции?,национализация помещичьей земли,отказ советского правительства от выплаты царских долгов,установление продовольственной диктатуры,стремление поддержать Чехословацкий корпус,2,0
Председателем Петроградского Совета в сентябре 1917 г. был избран,И.В. Сталин,Л.Д. Троцкий,Н.И. Бухарин,В.И. Ленин,2,0
Что из названного является одним из последствий выступления генерала Л.Г. Корнилова в августе 1917 г.?,переход власти в руки Петроградского Совета,создание Директории («Совета пяти»),проведение выборов в Учредительное собрание,введение 8-часового рабочего дня на предприятиях,2,0
"Договор, по которому иностранные фирмы получали возможность заниматься производственной деятельностью на территории России",кооперация,коалиция,конвенция,концессия,4,0
"Военно-морская база, моряки которой восстали в 1921 г.",Свеаборг,Севастополь,Кронштадт,Владивосток,3,0
Что из названного характеризует новую экономическую политику?,продразверстка,продналог,введение рабочего контроля,всеобщая трудовая повинность,2,0
План автономизации как основу объединения советских республик выдвинул,И.В. Сталин,В.И. Ленин,Ф.Э. Дзержинский,Л.Д. Троцкий ,1,0
Что из названного является причиной внутрипартийной борьбы в 20-е гг. XX в.?,идейные расхождения среди лидеров партии по вопросу о путях строительства социализма в СССР,увеличение количества противников построения социализма среди высшего руководства,стремление ряда руководителей создать правительственную коалицию из нескольких социалистических партий,разногласия среди руководителей по вопросу необходимости подготовки мировой революции,1,0
По делу военных в 1937 г. были расстреляны,И.Э. Якир и В.К. Блюхер,Г.Е. Зиновьев и Л.Б. Каменев,Н.И. Бухарин и А.И. Рыков,Н.И. Ежов и Г.Г. Ягода,1,0
Что из названного является одной из причин сворачивания новой экономической политики?,нэп не давал экономического эффекта,нэп привел к финансовому кризису,рыночная основа нэпа противоречила диктаторской сущности власти большевиков,основной целью нэпа было восстановление капитализма,3,0
Автор скульптуры «Рабочий и колхозница»,В.И. Мухина,С.Т. Коненков,М.Г. Манизер,А.А. Дейнека,1,0
"Установленный государством обязательный платеж, взимаемый с крестьянских хозяйств в годы нэпа",продразверстка,продналог ,экспроприация,оброк,2,0
"Отметьте, о ком идет речь. Он родился в семье зажиточного землевладельца-арендатора. В 1888 г. сблизился с членами социал-демократического «Южнорусского рабочего союза». В 1898 г. был арестован и более двух лет пробыл в тюрьме. В 1902 г. бежал за границу. В Лондоне познакомился с Лениным, оценившим его как «очень энергичного и способного товарища». В 1917 г. избран председателем Петроградского Совета. В «Письме к съезду» Ленин назвал его «самым способным человеком в настоящем ЦК». В 1927 г. был исключен из партии, сослан в Алма-Ату, в 1929 г. выслан из СССР, в 1932 г. лишен советского гражданства.",Л.Д. Троцкий,Л.Б. Каменев,Г.Е. Зиновьев,Я.М. Свердлов,1,0
В ходе первых пятилеток большое внимание уделялось подъему,сельского хозяйства,легкой промышленности,тяжелой промышленности,сферы обслуживания,3,0
Что из названного является следствием политических репрессий в СССР?,построение социализма в СССР,укрепление международного авторитета СССР,снижение боеспособности Красной Армии,увеличение количества «врагов народа»,3,0
В результате внутрипартийной борьбы в 20-е гг. укрепились позиции,Л.Д. Троцкого,И.В. Сталина,М.И. Калинина,Л.П. Берии,2,0
"Движение ударников, пытающихся увеличить производительность труда, получило название по имени",А. Стаханова,П. Ангелиной,А. Бусыгина,М. Мазая,1,0
"Роман, посвященный жизни казачества на историческом переломе, в годы революции и Гражданской войны",«Жизнь Клима Самгина»,«Тихий Дон»,«Враги»,«Разгром»,2,0
"Первый звуковой фильм, вышедший на экраны страны в 1931 г.",«Чапаев»,«Путевка в жизнь»,«Цирк»,«Александр Невский»,2,0
Процесс ликвидации зажиточных крестьянских хозяйств в годы коллективизации сельского хозяйства ,монополизация,секуляризация,раскулачивание,осереднячивание ,3,0
Отметьте черту новой экономической политики.,национализация крупной и средней промышленности,разрешение концессий с привлечением иностранного капитала,введение натуроплаты за труд,всеобщая трудовая повинность,2,0
"Мюнхенское соглашение 1938 г., способствовавшее развязыванию Второй мировой войны, было подписано",Великобританией,Польшей,Чехословакией,Испанией,1,0
"Отметьте, о ком идет речь. Он родился в 1870 г. в городе Гори Тифлисской губернии в семье сапожника. В 1894 г., после духовного училища, принят в Тифлисскую духовную семинарию, но не окончил ее. С 1903 г. стал большевиком. Участвовал в создании газеты «Правда». В 1913 г. написал статью «Марксизм и национальный вопрос», принесшую ему авторитет знатока национального вопроса. Принимал активное участие в подготовке и проведении Октябрьского вооруженного восстания, а после его победы был избран членом ВЦИК и вошел в первое советское правительство в качестве наркома по делам национальностей. В годы Гражданской войны находился на военно-политической работе. В 1922 г. был избран генеральным секретарем ЦК ВКП (б). Укрепив свое положение, расправился с внутрипартийной оппозицией.",А.И. Рыков,С. Орджоникидзе,И.В. Сталин,Л.П. Берия,3,0
Что из названного является одной из причин объединения советских республик в единое государство — СССР?,экономическая взаимозависимость республик,необходимость установления религиозного союза,"стремление усилить влияние русских среди народов, проживающих на территории бывшей Российской империи",попытка объединить усилия для подготовки мировой революции,1,0
Что из названного является одной из причин заключения пакта Молотова—Риббентропа в 1939 г.?,стремление СССР создать систему коллективной безопасности в Европе,необходимость пресечь агрессию Германии в Европе,желание обезопасить страну от вторжения немецко- фашистских войск на ближайшее время,стремление СССР укрепить свой авторитет на международной арене,3,0
"Реформатор поэтического языка, оказавший огромное влияние на поэзию XX в.",С. Есенин,О. Мандельштам,В. Маяковский,А. Блок,3,0
Режиссер фильма «Броненосец «Потемкин»,С. Эйзеншейн,А. Довженко,И. Пырьев,Г. Александров,1,0
"Форма производственного объединения, появившаяся в России в начале XX в., а затем и в годы новой экономической политики",трест,концерн,картель,мануфактура,1,0
"Рапалльские соглашения, положившие начало прорыву внешнеполитической изоляции РСФСР на международной арене, были подписаны в 1922 г.",с Великобританией,с США,с Германией,с Францией ,3,0
Высший орган государственной власти СССР в соответствии с Конституцией 1924 г.,Всесоюзный съезд Советов,Центральный исполнительный комитет Советов,Совет народных комиссаров,Верховный Суд,1,0
В результате индустриализации СССР превратился,"из «страны, ввозящей машины, в страну, их производящую»","из страны, закупающей хлеб, в экспортирующую его",в страну «победившего коммунизма»,"в государство, занимающее одно из ведущих мест по производству промышленной продукции на душу населения",1,0
Против перекачки средств из деревни в город для проведения индустриализации выступил,Л.Д. Троцкий,И.В. Сталин,Н.И. Бухарин,Н.И. Калинин,3,0
Деятельность Коминтерна привела,к созданию системы коллективной безопасности в Европе,к обострению отношений с рядом капиталистических государств,к выходу РСФСР из дипломатической изоляции,к сближению с фашистской Германией,2,0
Нобелевской премии в области литературы в 1933 г. был удостоен,В. Набоков,В. Ходасевич,И. Бунин,А. Куприн,3,0
"Формирование советской интеллигенции, придерживающейся социалистической идеологии, — это составная часть проводимой в СССР",культурной революции ,монополизации,модернизации,коллективизации,1,0
Создание крупного машинного производства во всех отраслях народного хозяйства и прежде всего в промышленности называется,индустриализацией,кооперацией,культурной революцией,коллективизацией,1,0
Что из названного не является характерной чертой нэпа?,создание акционерных обществ,привлечение иностранного капитала в форме концессий,введение трудовой повинности,введение продналога ,3,0
"Что из названного характеризует тоталитарный режим, складывающийся в СССР?",монопольное господство ВКП (б) на политической арене,"соблюдение демократических прав и свобод, закрепленных в Конституции 1936 г.",рыночная основа экономической системы государства,действие принципа разделения властей,1,0
"В 1922 г. из РСФСР была выслана группа интеллигенции, в том числе","И.А. Бунин, С.В. Рахманинов, И.А. Ильин","Н.И. Вавилов, А.Ф. Иоффе, Ф.И. Шаляпин","А. Платонов, М. Цветаева, С. Булгаков","С.Л. Франк, Н.О. Лосский, Н.А. Бердяев",4,0
Что из названного является одним из итогов коллективизации?,повышение производительности труда в колхозах,разорение крестьянских хозяйств и голод,введение частной собственности на землю,возрождение общинной системы,2,0
"Отметьте, о ком идет речь. В 1918 г. в качестве главы советской делегации подписал Брестский мир. Занимал высокие посты в советском руководстве: был членом Совета Госбанка, членом коллегии Наркомата финансов, членом Президиума ВСНХ, наркомом финансов, заместителем председателя Госплана СССР. В годы Гражданской войны командовал 8-й армией. В 1923 г. активно претворял в жизнь денежную реформу. В 1929 г. был полномочным представителем СССР в Великобритании. В 1936 г. репрессирован, реабилитирован в 1988 г.",Г.Я. Сокольников,А.И. Рыков,Н.Н. Крестинский,Е.А. Преображенский,1,0
Отметьте одну из причин образования СССР.,необходимость объединения социалистических республик перед угрозой внешнего врага,необходимость восстановления Российского государства в границах империи,заинтересованность иностранных государств в экономическом сотрудничестве с крупным государственным объединением,стремление национальных окраин к восстановлению «единого и неделимого» государства,1,0
Объединял и возглавлял мировое коммунистическое движение,Комуч,Коминтерн,Пролеткульт,ОСОВИАХИМ,2,0
Режиссер-постановщик фильма «Александр Невский»,С. Эйзенштейн,В.И. Пудовкин,Д. Вертов,Г. Александров ,1,0
По секретным протоколам к Пакту о ненападении с Германией 1939 г. к сфере интересов СССР относилась,Турция,Литва,Финляндия,Греция,3,0
Приказ № 227 «Ни шагу назад!» был издан в связи с наступлением немецко-фашистские войск под,Харьковом,Москвой,Сталинградом,Севастополем,3,0
