,Unnamed: 0,class,id,id_1,id_2,jaccard,text_1,text_2,ca
48,48,1,50,261,4362,0.9311280000000001,Умер ветеран правозащитного движения В.Абрамкин.,Умер ветеран правозащитного движения Валерий Абрамкин.,1
49,49,1,51,260,4363,0.634046,В Египте приговорили к смерти участников погрома на стадионе в Порт-Саиде.,В Египте вынесен смертный приговор за погром на стадионе.,1
50,50,0,52,257,4364,0.612372,В египетский Порт-Саид вводят войска из-за разбушевавшихся фанатов.,Египетская армия блокировала Порт-Саид.,1
51,51,1,53,259,4365,0.7234520000000001,В Подмосковье накрыли сходку криминальных авторитетов.,На сходке криминальных авторитетов в Подмосковье задержаны 23 человека.,1
52,52,0,54,262,4366,0.683333,Пожар в новостройке на юго-западе Москвы: 10 погибших.,В пожаре на юго-западе Москвы погибли 9 человек.,1
53,53,1,55,256,4367,0.56598,Первый Patriot в Турции приведен в боевую готовность.,Первая батарея Patriot заступила на боевое дежурство в Турции.,1
54,54,1,56,109,4228,0.48592799999999997,Работа Генконсульства РФ в сирийском Алеппо временно приостановлена.,РФ приостановила деятельность консульства в Алеппо.,1
55,55,1,57,265,4368,0.547886,СМИ: Власти просят жителей Крымска вернуть часть компенсаций.,От жителей Крымска потребовали вернуть часть материальной помощи.,1
56,56,-1,58,268,4369,0.56598,В главном здании МГУ загорелась столовая.,Из главного здания МГУ эвакуированы около 300 человек.,0
57,57,1,59,121,4229,0.736122,Пропавший на Эльбрусе альпинист найден мертвым на высоте 5 км.,На Эльбрусе нашли мертвым пропавшего московского альпиниста.,1
58,58,-1,60,266,4370,0.540899,В правительстве вновь высказались за муниципальный фильтр на выборах.,Правительство выступило против отмены муниципального фильтра для парламентских партий.,0
59,59,1,61,185,4304,0.547619,РФ отправила за российскими гражданами в Сирию два самолета.,МЧС отправляет два самолета для вывоза россиян из Сирии.,1
60,60,0,62,267,4371,0.8714290000000001,При пожаре в ночном клубе в Бразилии погибли 245 человек.,При пожаре в бразильском ночном клубе погибли 90 человек.,1
61,61,0,63,269,4371,0.8714290000000001,При пожаре в ночном клубе в Бразилии погибли более 200 человек.,При пожаре в бразильском ночном клубе погибли 90 человек.,1
62,62,0,64,264,4372,0.525,"Главный ""барометр"" США отдает ""Оскар"" фильму ""Операция ""Арго"".",Гильдия продюсеров США назвала «Операцию „Арго“» фильмом года.,1
63,63,-1,65,190,4305,0.689796,Глава управы района Северное Медведково задержан за взятку.,Пойманного на взятке главу управы Северное Медведково уволили.,0
64,64,1,66,263,4373,0.885333,Премьер Эфиопии возглавил Африканский союз.,Премьер-министр Эфиопии возглавил Африканский союз.,1
65,65,0,67,26,4131,0.730297,Во Флориде самолет упал на дом: 3 погибших.,Самолет упал на жилой дом во Флориде.,1
66,66,0,68,27,4132,0.555492,"Пожар в Покровской больнице: двое погибли, 50 — эвакуированы.",Два человека погибли при пожаре в больнице в Санкт-Петербурге.,1
67,67,1,69,28,4133,0.744444,В Альпах разбился снегоход с российскими туристами.,Группа туристов разбилась на снегоходе в Альпах.,1
68,68,0,70,120,4230,0.585845,Число погибших при взрыве в университете Алеппо превысило 80.,В Университете Алеппо произошел взрыв.,1
69,69,1,71,24,4134,0.632644,"Генконсул РФ назвал имена россиян, погибших в Альпах.",Стали известны имена погибших в Альпах россиян.,1
70,70,1,72,272,4374,0.56598,Французские и малийские военнослужащие выбили исламистов из Тимбукту.,Французские и малийские войска вошли в Тимбукту.,1
71,71,0,73,23,4135,0.85,У берегов Аляски произошло землетрясение магнитудой 7.5.,"У берегов Аляски произошло землетрясение магнитудой 7,7.",1
72,72,1,74,204,4306,0.85,Принц Гарри закончил военную службу в Афганистане.,Британский принц Гарри завершил службу в Афганистане.,1
73,73,1,75,271,4375,0.742857,Единоросс получил более 90% голосов на выборах мэра Кемерово.,Единорос набрал 90 процентов голосов на выборах мэра Кемерово.,1
74,74,1,76,195,4307,0.8151470000000001,В Мали режим чрезвычайного положения продлили на 3 месяца.,Власти Мали продлили на три месяца режим чрезвычайного положения.,1
75,75,1,77,22,4136,0.813759,Жерар Депардье прибыл в Сочи за российским паспортом.,Депардье прилетел в Сочи за российским паспортом.,1
76,76,-1,78,114,4231,0.517115,Россия даст Бангладеш $500 млн на строительство первой в стране АЭС.,"""Росатом"" назвал дату строительства АЭС в Бангладеш.",0
77,77,1,79,276,4376,0.5857140000000001,Бразилия скорбит по 233 жертвам пожара в клубе Kiss.,В Бразилии объявили трехдневный траур по жертвам пожара в клубе.,1
78,78,1,80,32,4137,0.9167879999999999,Режим ЧС введен в Якутии из-за нашествия волков.,В Якутии ввели режим ЧС из-за волков.,1
79,79,-1,81,31,4138,0.49015299999999995,На трассе в Пермском крае в результате ДТП погибло 5 человек.,В Колумбии в ДТП погибли 11 человек.,0
80,80,1,82,29,4139,0.802377,У гражданина Таджикистана в Москве изъяли 13 кг. героина.,В Москве у таджика изъяли 13 килограммов героина.,1
81,81,0,83,200,4308,0.533333,Pussy Riot сразятся за британскую премию с Rolling Stones и Д.Боуи.,Pussy Riot выдвинуты на соискание премии NME.,1
82,82,0,84,281,4377,0.584634,Шесть моряков с перевернувшегося в Японском море судна погибли.,В Японском море найдены тела шести погибших моряков с «Шанса-101».,1
83,83,0,85,203,4308,0.566667,Группу Pussy Riot выдвинули на престижную британскую премию.,Pussy Riot выдвинуты на соискание премии NME.,1
84,84,1,86,279,4378,0.89875,Возбуждено уголовное дело о строительстве дороги к даче зятя А.Сердюкова.,По факту строительства дороги к даче зятя Сердюкова возбудили дело.,1
85,85,0,87,30,4140,0.775,Скончалась старейшая жительница США.,Скончался старейший гражданин США.,1
86,86,0,88,199,4309,0.421857,McDonald’s заплатит штраф в $700 тыс. за продажу нехаляльного бургера.,McDonald's согласился заплатить мусульманам 700 тысяч долларов.,1
87,87,1,89,277,4379,0.552607,Минобрнауки предлагает выплачивать усыновителям инвалидов 100 тыс. руб.,Минобрнауки предложило увеличить выплаты усыновителям инвалидов.,1
88,88,1,90,210,4310,1.042857,КамАЗ оставил без газа более 20 тыс. человек в Грозном.,В Грозном «КамАЗ» оставил без газа более 20 тысяч человек.,1
89,89,0,91,37,4141,0.617213,Боевики на Северном Кавказе готовили теракты на Рождество.,Убитые в Кабардино-Балкарии боевики готовили серию терактов на Рождество.,1
90,90,1,92,34,4142,0.8161649999999999,Хиллари Клинтон возвращается к работе после болезни.,Хиллари Клинтон вернулась на работу.,1
91,91,0,93,209,4311,0.622222,В Подмосковье маршрутка попала в ДТП: 5 пострадавших.,В ДТП с маршруткой в Подмосковье пострадали 10 человек.,1
92,92,1,95,108,4233,0.595856,Президент присвоил главе ФМС ранг министра.,Глава ФМС стал федеральным министром.,1
93,93,1,96,275,4380,0.56598,В Киргизии ужесточили наказание за кражу невест.,В Киргизии увеличили срок заключения за кражу невест.,1
94,94,1,97,198,4312,0.566947,В московском метро появятся киоски-сталинки.,В московском метро появятся киоски в стиле сталинского ампира.,1
95,95,1,98,35,4144,0.771517,Дворник лопатой сломал московскому школьнику челюсть.,Московский дворник сломал школьнику челюсть за брошенный снежок.,1
96,96,1,99,33,4145,0.726629,Барак Обама определился с кандидатурой на пост главы ЦРУ.,Обама нашел кандидата на пост главы ЦРУ.,1
97,97,1,100,36,4146,0.6033310000000001,Пожар в колонии в Вологодской области унес жизни 3 заключенных.,При пожаре в вологодской колонии погибли трое заключенных.,1
98,98,1,101,39,4146,0.5925,Пожар в колонии в Вологодской обл.: есть погибшие.,При пожаре в вологодской колонии погибли трое заключенных.,1
99,99,1,102,45,4147,0.516667,Авиакатастрофа в Перу унесла жизни семи человек.,При крушении вертолета в Перу погибли семь человек.,1
100,100,1,103,112,4234,0.6480739999999999,"Renault сократит 7,5 тыс. сотрудников из-за кризиса.","Renault сократит 7,5 тысячи рабочих мест во Франции.",1
101,101,0,104,44,4148,0.7485539999999999,"В Перу российский турист отравился ""лианой мертвых"".",В Перу найден мертвым российский турист.,1
102,102,0,105,40,4149,0.493771,Япония заявила протест Китаю в связи с территориальным спором.,Новое правительство Японии впервые выразило протест Китаю.,1
103,103,1,106,43,4150,0.790569,"""Лайнер мечты"" стоимостью $200 млн загорелся в аэропорту Бостона.","В аэропорту Бостона загорелся ""Лайнер мечты"".",1
104,104,1,107,135,4235,0.5532,Велоспорт могут исключить из олимпийской программы.,Велоспорту грозит исключение из программы Олимпийских игр.,1
105,105,1,108,41,4151,0.663367,"Итальянская Generali удвоит долю в ""Ингосстрахе"".","Итальянцы удвоят свою долю в ""Ингосстрахе"".",1
106,106,1,109,134,4236,0.523996,Штат Нью-Йорк ограничил торговлю оружием.,Штат Нью-Йорк ужесточил закон о контроле за оборотом оружия.,1
107,107,1,110,207,4314,0.5,В Челябинске возбуждено уголовное дело о клевете на Ф.Вяткина.,Возбуждено дело о клевете на главу Челябинского облсуда.,1
108,108,1,111,143,4237,0.547723,Неизвестный открыл огонь в бизнес-школе штата Миссури.,В Сент-Луисе преступник открыл огонь в бизнес-школе.,1
109,109,0,112,42,4152,0.6,Следователи назвали окончательную причину смерти Эми Уайнхаус.,Повторное расследование подтвердило причину смерти Эми Уайнхаус.,1
110,110,1,113,139,4238,0.5857140000000001,Мужчина и женщина скончались в результате стрельбы в колледже Кентукки.,В результате стрельбы в колледже в Кентукки погибли два человека.,1
111,111,1,114,197,4315,0.7869470000000001,Умер знаменитый тренер сборной СССР по биатлону В.Иерусалимский.,Умер бывший тренер сборной СССР по биатлону.,1
112,112,0,115,282,4382,0.7234520000000001,"В Петербурге у отделения полиции произошел взрыв, есть пострадавший.",У пункта полиции в Петербурге произошел взрыв.,1
113,113,1,116,142,4239,0.925,В Новокузнецке скончался третий пострадавший при взрыве газа.,В Новокузнецке умер третий пострадавший при взрыве газа.,1
114,114,1,117,141,4240,0.585845,В Москве автомобиль протаранил остановку: ранены 4 человека.,В Москве автомобиль врезался в остановку.,1
115,115,1,118,52,4153,0.8795290000000001,Гильдия режиссеров США объявила претендентов на премию.,Гильдия режиссеров США назвала претендентов на ежегодную премию.,1
116,116,1,119,194,4316,0.6480739999999999,"Литва заморозила счета российских чиновников из ""списка Магнитского"".",Литва заморозила связанные с делом Магнитского счета.,1
117,117,0,120,140,4242,0.62,Главу подмосковного Красноармейска заподозрили в мошенничестве.,На главу подмосковного Красноармейска завели дело.,1
118,118,1,121,136,4243,0.6761229999999999,"В ""ЕР"" определились с суммой штрафа за курение.",Депутаты определились с суммой штрафа за курение в общественных местах.,1
119,119,0,122,133,4244,0.5312439999999999,"Священнику, поддержавшему Pussy Riot, запретили служить в церкви.",Захотевший извиниться перед Pussy Riot священник запрещен в служении.,1
120,120,0,123,280,4383,0.836909,В Турции оползень накрыл футбольный стадион: 7 погибших.,В Турции оползень накрыл футбольный стадион.,1
121,121,0,124,54,4155,0.803326,Ан-24 с хоккеистами на борту выкатился за пределы ВПП в Саранске.,Самолет с хоккеистами выкатился за пределы ВПП в Саранске.,1
122,122,1,125,55,4156,0.5163979999999999,Apple выпустит пластиковый iPhone для бедных.,Apple приписали план выпустить пластиковый iPhone.,1
123,123,1,126,206,4317,0.653616,Взрыв газа в Красноярске: семеро пострадавших.,Семь человек пострадали при взрыве газа в Красноярске.,1
124,124,1,127,196,4318,0.9258200000000001,Сергею Филину в Большом театре нашли временную замену.,В Большом театре нашли временную замену Филину.,1
125,125,1,128,50,4157,0.972208,Дело о ДТП на Ленинском вернули в прокуратуру.,Дело о ДТП на Ленинском проспекте вернули в прокуратуру.,1
126,126,1,129,11998,4246,0.683333,В Лондоне вертолет столкнулся со строительным краном и разбился.,В центре Лондона вертолет врезался в строительный кран.,1
127,127,0,130,51,4158,0.678387,"Защита двух фигурантов ""болотного дела"" подала жалобы в ЕСПЧ.","Двое фигурантов ""болотного дела"" обратились в ЕСПЧ.",1
128,128,1,131,205,4319,0.802377,Тройной теракт в Ираке унес жизни 17 человек.,При тройном теракте в Ираке погибли 17 человек.,1
129,129,0,132,202,4320,0.663504,Право полицейских на проникновение в жилище решили ограничить.,Госдуме предложили ограничить полицию в праве проникать в жилище.,1
130,130,1,133,274,4384,0.44647700000000007,"Российские паспорта заменят ""пластиком"" с 2015г.",С 2015 года паспорта заменят пластиковыми картами.,1
131,131,1,134,46,4159,0.8252219999999999,Сирийские повстанцы обменяют 48 иранцев на 2 тыс. своих соратников.,Сирийские повстанцы обменяли 48 иранцев на 2130 своих соратников.,1
132,132,-1,136,144,4247,0.0,Не все единороссы поддержали губернаторский закон о митингах.,При падении вертолета в Лондоне погибли два человека.,0
133,133,1,137,270,4385,0.9167879999999999,Королева Нидерландов решила отречься от престола.,Королева Нидерландов отречется от престола.,1
134,134,0,138,270,4386,0.56598,Королева Нидерландов решила отречься от престола.,Королева Нидерландов назвала дату передачи престола.,1
135,135,0,139,49,4161,0.617213,Журналисты пронесли в здание польского парламента бомбу.,Польские журналисты пронесли три килограмма взрывчатки в парламент.,1
136,136,1,140,137,4248,0.7869470000000001,В центре Москвы убит криминальный авторитет Дед Хасан.,В Москве убили криминального авторитета Деда Хасана.,1
137,137,-1,141,193,4321,0.0,"МЧС эвакуирует из Сирии не только россиян, но и иностранцев.",В интернете нашли два миллиона сторонников Саакашвили.,0
138,138,1,142,138,4249,0.501486,Сомалийские боевики решили казнить французского разведчика.,Сомалийские боевики приговорили к смерти захваченного французского агента.,1
139,139,1,143,48,4162,0.7869470000000001,"Власти Италии арестовали водителя снегохода, разбившегося в Альпах.",В Италии арестовали водителя разбившегося снегохода с россиянами.,1
140,140,1,144,129,4250,0.9167879999999999,Власти Москвы согласовали антифашистское шествие.,Антифашистское шествие в Москвы согласовано окончательно.,1
141,141,0,145,63,4163,0.705534,В США миллионера осудили за попытку продать Ирану детали для ракет ПВО.,Миллионера осудили за попытку продать Ирану ракетные комплектующие.,1
142,142,1,146,71,4164,0.617857,Число пострадавших при аварии парома в Нью-Йорке выросло до 74.,Число пострадавших при крушении парома возросло до 74 человек.,1
143,143,1,147,288,4387,0.561473,На саратовского дебошира с борта самолета Москва - Хургада заведено дело.,По факту дебоша в самолете Москва-Хургада завели дело.,1
144,144,0,148,57,4165,0.714286,"""Единая Россия"" назвала условия возвращения избирательных блоков.",Единорос Неверов назвал условия возвращения избирательных блоков.,1
145,145,1,149,62,4166,0.75,Напротив Кремля разместили экстремистский баннер.,Напротив Кремля вывесили экстремистский баннер.,1
146,146,1,150,130,4251,0.561249,Минюст: Россия выплатила 221 млн рублей по решениям ЕСПЧ.,"Россия заплатила 5,5 миллиона евро по решениям ЕСПЧ.",1
147,147,1,151,132,8152,0.771517,Осужденному за взрыв на Манежной площади отменили приговор.,Верховный суд отменил приговор за взрыв на Манежной площади.,1
148,148,-1,152,69,4167,0.0,"В Вильнюсе задержали хулигана, ""заминировавшего"" московские рейсы.",На наличие взрывчатки проверят еще два самолета в Москве.,0
149,149,1,153,68,4168,1.02,В Южном Судане вновь обстреляли российский вертолет.,В Южном Судане снова обстреляли российский вертолет.,1
150,150,1,154,219,4322,0.590569,У певицы Шакиры и футболиста Жерара Пике родился сын.,Шакира родила Пике сына.,1
151,151,-1,155,226,4322,0.0,"Суд Петербурга рассмотрит дело о гибели людей при взрыве в ресторане ""Харбин"".",Шакира родила Пике сына.,0
152,152,1,156,60,4169,0.66,Мэрилин Мэнсон передумал выступать в России.,Мэрилин Мэнсон отменил тур по России.,1
153,153,-1,157,131,4253,0.516667,Задержан подозреваемый в убийстве 5-летнего Богдана Прахова.,Подозреваемый в убийстве пятилетнего Прахова признался в преступлении.,0
154,154,1,158,67,4170,0.82,В Париже расстреляли трех курдских активисток.,В Париже застрелены три курдских активистки.,1
155,155,1,159,212,4323,0.941667,"Сотрудник Минобороны скончался после допроса по делу ""Оборонсервиса"".",Сотрудник Минобороны умер после допроса по делу «Оборонсервиса».,1
156,156,0,160,58,4171,0.632644,Россия обошла Гаити в рейтинге экономической свободы.,Россия поднялась на пять мест в рейтинге экономической свободы.,1
157,157,0,161,285,4389,0.62,Опубликован список погибших в авиакатастрофе под Алма-Атой.,В авиакатастрофе под Алма-Атой погибли 20 человек.,1
158,158,1,162,290,4389,0.7668119999999999,Под Алма-Атой разбился самолет: погибли 20 человек.,В авиакатастрофе под Алма-Атой погибли 20 человек.,1
159,159,-1,163,225,4324,0.169734,В Петербурге проводится проверка по факту падения наледи на девушку.,Власти Петербурга пообещали сохранить 31-ю больницу.,0
160,160,0,164,70,4172,0.5857140000000001,Стали известны причины столкновения парома с пирсом в Нью-Йорке.,Причиной аварии парома в Нью-Йорке стала техническая неисправность.,1
161,161,1,165,286,4390,0.7690899999999999,"В Греции скончался последний член хунты ""черных полковников"".",В Греции умер последний «черный полковник».,1
162,162,0,166,291,4391,0.507093,"Бразильские музыканты-""пиротехники"" признали вину за пожар в клубе Kiss.",Бразильская группа покаялась за пожар в клубе.,1
163,163,0,167,218,4325,0.201782,"Суд не стал снижать срок раскаявшемуся фигуранту ""болотного дела"".",Мосгорсуд подтвердил приговор Максиму Лузянину по «болотному делу».,1
164,164,0,168,66,4173,0.683333,В Швейцарии столкнулись два поезда: есть пострадавшие.,На севере Швейцарии столкнулись два пассажирских поезда.,1
165,165,1,169,293,4392,0.9227190000000001,"По факту избиения организатора спектакля ""Лолита"" в Петербурге возбудили дело.",В Петербурге возбудили дело об избиении организатора спектакля «Лолита».,1
166,166,1,170,221,4326,0.74165,"Прокуратура требует назначить 10 лет владельцу ""Хромой лошади"".",Прокурор потребовал 10 лет для владельца «Хромой лошади».,1
167,167,0,171,61,4174,0.547886,Первый дизайнер Facebook уволился из компании второй раз.,"Создатель кнопки ""Мне нравится"" второй раз уволился из Facebook.",1
168,168,1,172,146,4254,0.775,"РФ обязали ежедневно выплачивать 50 тыс. долл. за ""список Шнеерсона"".",Россию обязали ежедневно выплачивать 50 тысяч долларов за библиотеку Шнеерсона.,1
169,169,0,173,147,4256,0.771429,"США обвинили сирийские власти в ""кровавой атаке"" на университет.",США обвинили сирийские власти в нападении на университет в Алеппо.,1
170,170,-1,174,152,4257,0.547886,МВД: Похищенный в Приморье металл не связан с саммитом АТЭС.,При строительства моста на саммит АТЭС похитили металл на 96 миллионов.,0
171,171,1,175,160,4257,0.8875,Со строек саммита АТЭС похищен металл почти на 100 млн руб.,При строительства моста на саммит АТЭС похитили металл на 96 миллионов.,1
172,172,0,176,65,4175,0.67361,В центре Тель-Авива прогремел взрыв: есть раненые.,В центре Тель-Авива произошел взрыв.,1
173,173,-1,177,73,4176,0.0,"ОСК и ""Совкомфлот"" договорились о строительстве ледоколов для проектов на шельфе Сахалина.","""Индекс страха"" на биржах упал до минимума с начала кризиса.",0
174,174,-1,178,151,4258,0.552186,Минфин не поддерживает идею создания ведомства по делам сирот.,В Госдуме предложили создать ведомство по делам сирот.,0
175,175,1,179,64,4177,0.632644,СМИ: Взрыв в Тель-Авиве - попытка ликвидации криминального авторитета.,"Взрыв в Тель-Авиве был покушением на криминального ""авторитета"".",1
176,176,1,180,155,4258,0.5,В России могут создать министерство по делам сирот.,В Госдуме предложили создать ведомство по делам сирот.,1
177,177,0,181,283,4393,0.85,В сирийском Алеппо найдено место массовой казни.,Повстанцы нашли в Алеппо место массовой казни.,1
178,178,1,182,217,4327,0.94125,"СКР опроверг связь умершего топ-менеджера с делом ""Оборонсервиса"".",СК опроверг связь умершего топ-менеджера с делом «Оборонсервиса».,1
179,179,1,183,284,4394,1.028571,Подмосковье потратит на строительство дорог 100 млрд руб.,Подмосковье потратит 100 миллиардов рублей на строительство дорог.,1
180,180,1,184,213,4328,0.742857,Генпрокуратура просит лишить неприкосновенности 2 депутатов Госдумы.,Генпрокуратура попросила лишить неприкосновенности двух депутатов Госдумы.,1
181,181,1,185,159,4259,0.683333,"Дело ""Оборонсервиса"": обыски начались в ИД ""Красная звезда"".","В рамках дела ""Оборонсервиса"" обыскали ИД ""Красная звезда"".",1
182,182,-1,186,159,4260,0.5,"Дело ""Оборонсервиса"": обыски начались в ИД ""Красная звезда"".","ИД ""Красная звезда"" опроверг информацию об обыске.",0
